1; 1; 1; 1335
1; 1; 2; 33996
1; 1; 3; 789
1; 1; 4; 24358
1; 1; 5; 31900
1; 1; 6; 5888
1; 1; 7; 4796
1; 1; 8; 1303
1; 1; 9; 8244
1; 1; 10; 28082
1; 1; 11; 2188
1; 1; 12; 32973
1; 1; 13; 21297
1; 1; 14; 1774
1; 1; 15; 24120
1; 1; 16; 15940
1; 1; 17; 2707
1; 1; 18; 7694
1; 1; 19; 162
1; 1; 20; 30365
1; 1; 21; 31661
1; 1; 22; 7161
1; 1; 23; 3134
1; 1; 24; 1731
1; 1; 25; 3046
1; 1; 26; 34672
1; 1; 27; 2259
1; 1; 28; 7714
1; 1; 29; 18009
1; 1; 30; 203
1; 1; 31; 33926
1; 1; 32; 29744
1; 1; 33; 32889
1; 1; 34; 25188
1; 1; 35; 0
1; 1; 36; 21807
1; 1; 37; 1995
1; 1; 38; 5092
1; 1; 39; 5189
1; 1; 40; 0
2; 1; 1; 6129
2; 1; 2; 17541
2; 1; 3; 1312
2; 1; 4; 33513
2; 1; 5; 21276
2; 1; 6; 5131
2; 1; 7; 23726
2; 1; 8; 4851
2; 1; 9; 33346
2; 1; 10; 27700
2; 1; 11; 26706
2; 1; 12; 1083
2; 1; 13; 1734
2; 1; 14; 4753
2; 1; 15; 26079
2; 1; 16; 7706
2; 1; 17; 15674
2; 1; 18; 5144
2; 1; 19; 526
2; 1; 20; 8418
2; 1; 21; 5039
2; 1; 22; 5729
2; 1; 23; 33953
2; 1; 24; 1005
2; 1; 25; 4907
2; 1; 26; 783
2; 1; 27; 4842
2; 1; 28; 2839
2; 1; 29; 933
2; 1; 30; 27327
2; 1; 31; 15631
2; 1; 32; 7237
2; 1; 33; 7371
2; 1; 34; 0
1; 2; 1; 8607
1; 2; 2; 23110
1; 2; 3; 19155
1; 2; 4; 4955
1; 2; 5; 33532
1; 2; 6; 1805
1; 2; 7; 5055
1; 2; 8; 5009
1; 2; 9; 5362
1; 2; 10; 812
1; 2; 11; 18887
1; 2; 12; 6260
1; 2; 13; 7072
1; 2; 14; 5762
1; 2; 15; 8410
1; 2; 16; 20793
1; 2; 17; 17095
1; 2; 18; 32746
1; 2; 19; 16326
1; 2; 20; 34389
1; 2; 21; 1246
1; 2; 22; 2652
1; 2; 23; 8290
1; 2; 24; 449
1; 2; 25; 768
1; 2; 26; 19836
1; 2; 27; 5232
1; 2; 28; 642
1; 2; 29; 7610
1; 2; 30; 18835
1; 2; 31; 32949
1; 2; 32; 6895
1; 2; 33; 5159
1; 2; 34; 4235
1; 2; 35; 7040
1; 2; 36; 4949
1; 2; 37; 4749
1; 2; 38; 358
1; 2; 39; 4953
1; 2; 40; 0
2; 2; 1; 6322
2; 2; 2; 24528
2; 2; 3; 2740
2; 2; 4; 31461
2; 2; 5; 6887
2; 2; 6; 959
2; 2; 7; 6272
2; 2; 8; 4896
2; 2; 9; 5339
2; 2; 10; 5219
2; 2; 11; 30157
2; 2; 12; 32809
2; 2; 13; 4910
2; 2; 14; 30440
2; 2; 15; 33003
2; 2; 16; 33206
2; 2; 17; 16759
2; 2; 18; 1602
2; 2; 19; 4734
2; 2; 20; 31801
2; 2; 21; 891
2; 2; 22; 19473
2; 2; 23; 4804
2; 2; 24; 6010
2; 2; 25; 5204
2; 2; 26; 28315
2; 2; 27; 31323
2; 2; 28; 1272
2; 2; 29; 31156
2; 2; 30; 892
2; 2; 31; 34878
2; 2; 32; 25100
2; 2; 33; 5012
2; 2; 34; 23070
2; 2; 35; 3349
2; 2; 36; 5215
2; 2; 37; 5473
2; 2; 38; 7355
2; 2; 39; 32168
2; 2; 40; 24043
2; 2; 41; 0
1; 3; 1; 4831
1; 3; 2; 4986
1; 3; 3; 2680
1; 3; 4; 4969
1; 3; 5; 33985
1; 3; 6; 16673
1; 3; 7; 4234
1; 3; 8; 4618
1; 3; 9; 31661
1; 3; 10; 34458
1; 3; 11; 4977
1; 3; 12; 20690
1; 3; 13; 7309
1; 3; 14; 19000
1; 3; 15; 2456
1; 3; 16; 5555
1; 3; 17; 5048
1; 3; 18; 5791
1; 3; 19; 25082
1; 3; 20; 4773
1; 3; 21; 5804
1; 3; 22; 7617
1; 3; 23; 839
1; 3; 24; 1015
1; 3; 25; 24295
1; 3; 26; 23922
1; 3; 27; 3140
1; 3; 28; 31267
1; 3; 29; 4935
1; 3; 30; 32300
1; 3; 31; 2757
1; 3; 32; 31548
1; 3; 33; 17907
1; 3; 34; 24119
1; 3; 35; 24257
1; 3; 36; 31961
1; 3; 37; 18837
1; 3; 38; 26243
1; 3; 39; 811
1; 3; 40; 969
1; 3; 41; 33024
1; 3; 42; 361
1; 3; 43; 16132
1; 3; 44; 2091
1; 3; 45; 4774
1; 3; 46; 4878
1; 3; 47; 8971
1; 3; 48; 1605
1; 3; 49; 644
1; 3; 50; 6828
1; 3; 51; 0
2; 3; 1; 5303
2; 3; 2; 1594
2; 3; 3; 2949
2; 3; 4; 3223
2; 3; 5; 1184
2; 3; 6; 5037
2; 3; 7; 22342
2; 3; 8; 23880
2; 3; 9; 24389
2; 3; 10; 927
2; 3; 11; 8331
2; 3; 12; 696
2; 3; 13; 1273
2; 3; 14; 8942
2; 3; 15; 7867
2; 3; 16; 843
2; 3; 17; 6759
2; 3; 18; 25586
2; 3; 19; 8409
2; 3; 20; 32950
2; 3; 21; 29975
2; 3; 22; 4358
2; 3; 23; 4746
2; 3; 24; 3292
2; 3; 25; 29246
2; 3; 26; 1590
2; 3; 27; 1139
2; 3; 28; 28702
2; 3; 29; 26763
2; 3; 30; 5542
2; 3; 31; 32823
2; 3; 32; 8030
